refDes,platformType,zarrFile,variables
CE02SHBP-LJ01D-06-CTDBPN106,fixed,CE02SHBP-LJ01D-06-CTDBPN106-streamed-ctdbp_no_sample,"['sea_water_temperature','sea_water_electrical_conductivity','sea_water_pressure','sea_water_practical_salinity','dissolved_oxygen','corrected_dissolved_oxygen']"
CE04OSBP-LJ01C-06-CTDBPO108,fixed,CE04OSBP-LJ01C-06-CTDBPO108-streamed-ctdbp_no_sample,"['sea_water_temperature','sea_water_electrical_conductivity','sea_water_pressure','sea_water_practical_salinity','dissolved_oxygen','corrected_dissolved_oxygen']"
RS01SLBS-LJ01A-12-CTDPFB101,fixed,RS01SLBS-LJ01A-12-CTDPFB101-streamed-ctdpf_optode_sample,"['sea_water_temperature','sea_water_electrical_conductivity','sea_water_pressure','sea_water_practical_salinity','dissolved_oxygen','corrected_dissolved_oxygen']"
RS03AXBS-LJ03A-12-CTDPFB301,fixed,RS03AXBS-LJ03A-12-CTDPFB301-streamed-ctdpf_optode_sample,"['sea_water_temperature','sea_water_electrical_conductivity','sea_water_pressure','sea_water_practical_salinity','dissolved_oxygen','corrected_dissolved_oxygen']"
RS03ASHS-MJ03B-10-CTDPFB304,fixed,RS03ASHS-MJ03B-10-CTDPFB304-streamed-ctdpf_optode_sample,"['sea_water_temperature','sea_water_electrical_conductivity','sea_water_pressure','sea_water_practical_salinity']"
RS03CCAL-MJ03F-12-CTDPFB305,fixed,RS03CCAL-MJ03F-12-CTDPFB305-streamed-ctdpf_optode_sample,"['sea_water_temperature','sea_water_electrical_conductivity','sea_water_pressure','sea_water_practical_salinity']"
RS03ECAL-MJ03E-12-CTDPFB306,fixed,RS03ECAL-MJ03E-12-CTDPFB306-streamed-ctdpf_optode_sample,"['sea_water_temperature','sea_water_electrical_conductivity','sea_water_pressure','sea_water_practical_salinity']"
RS03INT2-MJ03D-11-CTDPFB307,fixed,RS03INT2-MJ03D-11-CTDPFB307-streamed-ctdpf_optode_sample,"['sea_water_temperature','sea_water_electrical_conductivity','sea_water_pressure','sea_water_practical_salinity']"
RS01SBPS-PC01A-4A-CTDPFA103,fixed,RS01SBPS-PC01A-4A-CTDPFA103-streamed-ctdpf_optode_sample,"['sea_water_temperature','sea_water_electrical_conductivity','sea_water_pressure','sea_water_practical_salinity','dissolved_oxygen','corrected_dissolved_oxygen']"
CE04OSPS-PC01B-4A-CTDPFA109,fixed,CE04OSPS-PC01B-4A-CTDPFA109-streamed-ctdpf_optode_sample,"['sea_water_temperature','sea_water_electrical_conductivity','sea_water_pressure','sea_water_practical_salinity','dissolved_oxygen,corrected_dissolved_oxygen']"
RS03AXPS-PC03A-4A-CTDPFA303,fixed,RS03AXPS-PC03A-4A-CTDPFA303-streamed-ctdpf_optode_sample,"['sea_water_temperature','sea_water_electrical_conductivity','sea_water_pressure','sea_water_practical_salinity','dissolved_oxygen','corrected_dissolved_oxygen']"
RS01SBPS-SF01A-2A-CTDPFA102,profiler,RS01SBPS-SF01A-2A-CTDPFA102-streamed-ctdpf_sbe43_sample,"['sea_water_temperature','sea_water_electrical_conductivity','sea_water_pressure','sea_water_practical_salinity','corrected_dissolved_oxygen']"
CE04OSPS-SF01B-2A-CTDPFA107,profiler,CE04OSPS-SF01B-2A-CTDPFA107-streamed-ctdpf_sbe43_sample,"['sea_water_temperature','sea_water_electrical_conductivity','sea_water_pressure','sea_water_practical_salinity','corrected_dissolved_oxygen']"
RS03AXPS-SF03A-2A-CTDPFA302,profiler,RS03AXPS-SF03A-2A-CTDPFA302-streamed-ctdpf_sbe43_sample,"['sea_water_temperature','sea_water_electrical_conductivity','sea_water_pressure','sea_water_practical_salinity','corrected_dissolved_oxygen']"
RS01SBPS-PC01A-4C-FLORDD103,fixed,RS01SBPS-PC01A-4C-FLORDD103-streamed-flort_d_data_record,"['fluorometric_chlorophyll_a','optical_backscatter','total_volume_scattering_coefficient']"
RS03AXPS-PC03A-4C-FLORDD303,fixed,RS03AXPS-PC03A-4C-FLORDD303-streamed-flort_d_data_record,"['fluorometric_chlorophyll_a','optical_backscatter','total_volume_scattering_coefficient']"
CE04OSPS-SF01B-3A-FLORTD104,profiler,CE04OSPS-SF01B-3A-FLORTD104-streamed-flort_d_data_record,"['fluorometric_chlorophyll_a','optical_backscatter','total_volume_scattering_coefficient']"
RS01SBPS-SF01A-3A-FLORTD101,profiler,RS01SBPS-SF01A-3A-FLORTD101-streamed-flort_d_data_record,"['fluorometric_chlorophyll_a','optical_backscatter','total_volume_scattering_coefficient']"
RS03AXPS-SF03A-3A-FLORTD301,profiler,RS03AXPS-SF03A-3A-FLORTD301-streamed-flort_d_data_record,"['fluorometric_chlorophyll_a','optical_backscatter','total_volume_scattering_coefficient']"
CE04OSPS-SF01B-4A-NUTNRA102,profiler,CE04OSPS-SF01B-4A-NUTNRA102-streamed-nutnr_a_sample,"['nitrate_concentration','salinity_corrected_nitrate']"
RS01SBPS-SF01A-4A-NUTNRA101,profiler,RS01SBPS-SF01A-4A-NUTNRA101-streamed-nutnr_a_sample,"['nitrate_concentration','salinity_corrected_nitrate']"
RS03AXPS-SF03A-4A-NUTNRA301,profiler,RS03AXPS-SF03A-4A-NUTNRA301-streamed-nutnr_a_sample,"['nitrate_concentration','salinity_corrected_nitrate']"
CE04OSPS-SF01B-4F-PCO2WA102,profiler,CE04OSPS-SF01B-4F-PCO2WA102-streamed-pco2w_a_sami_data_record,"['pco2_seawater']"
CE04OSPS-PC01B-4D-PCO2WA105,fixed,CE04OSPS-PC01B-4D-PCO2WA105-streamed-pco2w_a_sami_data_record,"['pco2_seawater']"
