annotation,begin_datetime,end_datetime,exclusion_flag,id,instrument,method,node,parameter_ids,parameter_names,qc_flag,site,source,stream
"Deployment 1: The DOSTA's internal salinity setting was set to 35, but OOI processing previously assumed it was set to 0. This resulted in the ""DO- Pressure Sal Corrected (umol /kg)"" parameter being about 20% lower than what the value should be. A correction was implemented 2022-02-28. This deployment is affected by this change and users who have requested oxygen data prior to 2022-02-28 are encouraged to re-download the data. The raw data were not corrected. ",2013-07-19T13:17:00Z,2014-02-20T20:42:00Z,False,3674,02-DOSTAM000,,GL365,[],[],,GP05MOAS,cdobson@whoi.edu,
"Deployment 1: The DOSTA's internal salinity setting was set to 35, but OOI processing previously assumed it was set to 0. This resulted in the ""DO- Pressure Sal Corrected (umol /kg)"" parameter being about 20% lower than what the value should be. A correction was implemented 2022-02-28. This deployment is affected by this change and users who have requested oxygen data prior to 2022-02-28 are encouraged to re-download the data. The raw data were not corrected. ",2013-07-19T13:33:00Z,2014-06-15T09:52:00Z,False,3675,02-DOSTAM000,,GL364,[],[],,GP05MOAS,cdobson@whoi.edu,
Deployment 1: Data gap exists between 2013-12-04 and 2014-05-08. There are also various other data gaps for this deployment.,2013-07-19T13:33:00Z,2014-06-15T09:52:00Z,False,5266,,,GL364,[],[],,GP05MOAS,cdobson@whoi.edu,
"Deployment 1: The DOSTA's internal salinity setting was set to 35, but OOI processing previously assumed it was set to 0. This resulted in the ""DO- Pressure Sal Corrected (umol /kg)"" parameter being about 20% lower than what the value should be. A correction was implemented 2022-02-28. This deployment is affected by this change and users who have requested oxygen data prior to 2022-02-28 are encouraged to re-download the data. The raw data were not corrected. ",2013-07-19T16:00:00Z,2014-06-15T10:19:00Z,False,3676,02-DOSTAM000,,GL363,[],[],,GP05MOAS,cdobson@whoi.edu,
"Deployment 1: Dissolved oxygen noise was high at various times throughout the deployment, possibly from biofouling.",2013-07-21T15:44:00Z,2014-06-14T17:00:00Z,False,774,03-DOSTAD000,,RIS01,[],[],suspect,GP03FLMA,lgarzio@marine.rutgers.edu,
Deployment 1: No FLORT data available for this deployment. The bulkhead connector was found to be damaged on recovery.,2013-07-21T15:44:00Z,2014-06-15T10:30:00Z,False,3352,05-FLORTD000,,RIS01,[],[],not_operational,GP03FLMA,cdobson@whoi.edu,
Deployment 1: Mooring was deployed 10-15m shallower than planned. Telemetered data are not available for this deployment.,2013-07-21T15:44:00Z,2014-06-14T17:00:00Z,False,150,,,,[],[],,GP03FLMA,lgarzio@marine.rutgers.edu,
Telemetered inductive ADCP data is in pd12 format which does not include the depth-to-first-bin value which is needed for proper calculation of the data products. A nominal value is entered into the system so that telemetered data can be used when needed. For the best data the recovered data in pd0 format should be used.,2013-07-21T15:44:00Z,,False,1928,02-ADCPSL003,telemetered,RIM01,[],[],,GP03FLMA,cdobson@whoi.edu,adcps_jln_sio_mule_instrument
"*UPDATE 2025-08-12: Through internal validation and user input, Sea-Bird Scientific discovered all CDOM sensors calibrated prior to 2023 were affected by improperly prepared primary standards. Sea-Bird provided corrected scale factors for all relevant calibration events and new coefficients have been entered into the OOI system as of July 2025. All derived L1 and L2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct calibration values.* Sea-Bird Scientific issued a notification that some CDOM fluorometers were producing biased values, which was traced back to three distinct root causes: Incorrect primary CDOM standard, in situ bias, and out-of-tolerance UV LEDs. We are working with Sea-Bird to obtain correction factors for the affected instruments; in the meantime, the CDOM data should be considered suspect and should not be used in any analyses",2013-07-21T15:45:01Z,2024-06-05T17:15:00Z,False,6029,05-FLORTD000,recovered_host,RIS01,"[1142, 23, 1143]","['measurement_wavelength_cdom', 'fluorometric_cdom', 'raw_signal_cdom']",,GP03FLMA,areed@whoi.edu,flort_sample
"Deployment 1: Dissolved oxygen noise was high at various times throughout the deployment, possibly from biofouling.",2013-07-23T23:32:00Z,2014-06-17T17:00:00Z,False,776,03-DOSTAD000,,RIS01,[],[],suspect,GP03FLMB,lgarzio@marine.rutgers.edu,
